epoch,box_loss,cls_loss,dfl_loss,precision,recall,mAP50,mAP50-95,gpu_util_%,vram_used_gb,epoch_s
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.98,55.8
2,0.0,0.0,0.0,0.6149,0.2467,0.2196,0.1225,11,0.99,50.6
3,0.0,0.0,0.0,0.5328,0.2896,0.2542,0.1407,11,0.99,61.1
4,0.0,0.0,0.0,0.6266,0.2873,0.2538,0.1346,11,1.0,48.3
5,0.0,0.0,0.0,0.9035,0.2217,0.2846,0.1704,11,1.0,47.7
6,0.0,0.0,0.0,0.7723,0.261,0.3033,0.1586,11,0.98,49.6
7,0.0,0.0,0.0,0.6428,0.3533,0.309,0.1676,11,0.99,56.4
8,0.0,0.0,0.0,0.6678,0.3382,0.3135,0.1682,11,0.99,61.0
9,0.0,0.0,0.0,0.6502,0.3687,0.3379,0.1853,11,0.99,70.4
10,0.0,0.0,0.0,0.6169,0.3526,0.3375,0.1779,11,0.99,72.4
11,0.0,0.0,0.0,0.695,0.3855,0.3631,0.1819,11,0.99,72.1
12,0.0,0.0,0.0,0.7139,0.41,0.3435,0.1965,11,1.0,72.0
13,0.0,0.0,0.0,0.7298,0.3792,0.3804,0.2183,11,0.99,71.9
14,0.0,0.0,0.0,0.7086,0.3879,0.3712,0.2008,11,0.98,71.9
15,0.0,0.0,0.0,0.6496,0.4089,0.3655,0.2135,11,0.99,71.7
16,0.0,0.0,0.0,0.6325,0.4323,0.3771,0.2028,11,0.99,71.8
17,0.0,0.0,0.0,0.6601,0.4031,0.3754,0.2149,11,1.0,71.9
18,0.0,0.0,0.0,0.7403,0.3881,0.4063,0.2162,11,0.98,71.0
19,0.0,0.0,0.0,0.7348,0.4096,0.3979,0.2135,11,0.99,48.7
20,0.0,0.0,0.0,0.6162,0.4659,0.3928,0.2062,11,0.99,49.6
21,0.0,0.0,0.0,0.711,0.4388,0.3918,0.2238,11,1.0,50.2
22,0.0,0.0,0.0,0.7423,0.4226,0.4208,0.2427,11,0.99,53.8
23,0.0,0.0,0.0,0.7454,0.4205,0.4379,0.2472,11,0.99,54.1
24,0.0,0.0,0.0,0.5088,0.4788,0.4137,0.2332,11,1.0,52.9
25,0.0,0.0,0.0,0.693,0.4878,0.4248,0.228,11,1.0,52.9
26,0.0,0.0,0.0,0.5879,0.4752,0.4246,0.2397,11,0.98,53.2
27,0.0,0.0,0.0,0.6888,0.448,0.4057,0.2534,11,0.99,52.6
28,0.0,0.0,0.0,0.6449,0.4738,0.4184,0.2451,11,0.99,51.8
29,0.0,0.0,0.0,0.562,0.5372,0.4933,0.2764,11,1.0,51.9
30,0.0,0.0,0.0,0.6846,0.4443,0.4259,0.2569,11,0.98,53.4
31,0.0,0.0,0.0,0.5293,0.5523,0.4486,0.2566,11,0.99,53.2
32,0.0,0.0,0.0,0.5233,0.625,0.468,0.2821,11,0.99,53.2
33,0.0,0.0,0.0,0.4866,0.4974,0.4244,0.2676,11,0.99,52.1
34,0.0,0.0,0.0,0.4654,0.5931,0.4699,0.2889,11,0.98,52.9
35,0.0,0.0,0.0,0.5106,0.5617,0.4363,0.2742,11,1.0,52.1
36,0.0,0.0,0.0,0.647,0.5469,0.4555,0.2803,11,0.99,51.5
37,0.0,0.0,0.0,0.5918,0.4762,0.4382,0.2759,11,0.99,52.9
38,0.0,0.0,0.0,0.5636,0.5307,0.4511,0.2752,11,0.99,53.4
39,0.0,0.0,0.0,0.5677,0.5275,0.4526,0.277,11,0.99,52.8
40,0.0,0.0,0.0,0.648,0.484,0.4491,0.2848,11,0.99,52.4
41,0.0,0.0,0.0,0.4963,0.6521,0.455,0.2821,11,1.0,92.7
42,0.0,0.0,0.0,0.7388,0.5076,0.4446,0.282,11,0.99,52.6
43,0.0,0.0,0.0,0.6633,0.5436,0.474,0.2959,11,0.99,51.5
44,0.0,0.0,0.0,0.6085,0.5616,0.4591,0.2933,11,0.99,52.1
45,0.0,0.0,0.0,0.6147,0.5442,0.4517,0.2864,11,0.99,52.2
46,0.0,0.0,0.0,0.5521,0.537,0.4577,0.2949,11,0.98,52.1
47,0.0,0.0,0.0,0.538,0.5583,0.4542,0.2927,11,0.99,52.2
48,0.0,0.0,0.0,0.5684,0.5306,0.4545,0.2955,11,0.99,52.0
49,0.0,0.0,0.0,0.6281,0.5397,0.4565,0.2968,11,1.0,53.0
50,0.0,0.0,0.0,0.5538,0.54,0.4548,0.2975,11,0.99,53.8
